Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"D Zhou, S Zhang, MY Yildirim, S Alcorn…","High-order structure exploration on massive graphs: A local graph clustering perspective",2021,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3425637","https://scholar.google.com/scholar?cites=16493240448077089989&as_sdt=2005&sciodt=2007&hl=en",1,"2022-06-21 20:50:26","","10.1145/3425637","","",,,,,5,5.00,1,5,1,"… the key idea to highorder network structures and propose our fast … To model the user-specified network structure N, we … the high-order random walk induced by the high-order network …","https://dl.acm.org/doi/pdf/10.1145/3425637","https://scholar.google.com/scholar?q=related:xUy9ds3C4-QJ:scholar.google.com/&scioq=source:acm+%22high+order%22+network&hl=en&as_sdt=2007"
38,"D Lian, K Zheng, VW Zheng, Y Ge, L Cao…","High-order proximity preserving information network hashing",2018,"… of the 24th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3219819.3220034","https://scholar.google.com/scholar?cites=16332753150846978278&as_sdt=2005&sciodt=2007&hl=en",2,"2022-06-21 20:50:26","","10.1145/3219819.3220034","","",,,,,38,9.50,6,6,4,"… methods with high-order proximity preserved, we propose a MF-based Information Network Hashing (INH-MF) algorithm, to learn binary codes which can preserve high-order proximity. …","http://bigdata.ustc.edu.cn/paper_pdf/2018/Defu-Lian-KDD2018.pdf","https://scholar.google.com/scholar?q=related:5khgwHSYqeIJ:scholar.google.com/&scioq=source:acm+%22high+order%22+network&hl=en&as_sdt=2007"
51,"Q Zhang, L Zhu, DS Huang","High-order convolutional neural network architecture for predicting DNA-protein binding sites",2018,"IEEE/ACM transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8325519/","https://scholar.google.com/scholar?cites=10211649718350352749&as_sdt=2005&sciodt=2007&hl=en",3,"2022-06-21 20:50:26","","","","",,,,,51,12.75,17,3,4,"… a high-order convolutional neural network architecture (HOCNN) for the motif discovery task, which integrates the high-order … First, HOCNN uses a high-order encoding method to …","","https://scholar.google.com/scholar?q=related:bZH9sFARt40J:scholar.google.com/&scioq=source:acm+%22high+order%22+network&hl=en&as_sdt=2007"
1,"Z Yao, W Pei, F Chen, G Lu…","Stepwise-refining speech separation network via fine-grained encoding in high-order latent domain",2022,"IEEE/ACM Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9670704/","https://scholar.google.com/scholar?cites=694913586522265792&as_sdt=2005&sciodt=2007&hl=en",4,"2022-06-21 20:50:26","","","","",,,,,1,1.00,0,5,1,"… However, it performs worse than Base-high-order, which reveals that the high-order encoding space modeled by our model is not equivalent to (but more powerful than) the deeper …","https://arxiv.org/pdf/2110.04791","https://scholar.google.com/scholar?q=related:wJhAojnUpAkJ:scholar.google.com/&scioq=source:acm+%22high+order%22+network&hl=en&as_sdt=2007"
678,"X Wang, X He, Y Cao, M Liu, TS Chua","Kgat: Knowledge graph attention network for recommendation",2019,"Proceedings of the 25th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3292500.3330989","https://scholar.google.com/scholar?cites=16121581283781234537&as_sdt=2005&sciodt=2007&hl=en",5,"2022-06-21 20:50:26","","10.1145/3292500.3330989","","",,,,,678,226.00,136,5,3,"… We develop a new method KGAT, which achieves high-order relation modeling in an explicit and end-to-end manner under the graph neural network framework. • We conduct extensive …","https://arxiv.org/pdf/1905.07854","https://scholar.google.com/scholar?q=related:ac9dBcNcu98J:scholar.google.com/&scioq=source:acm+%22high+order%22+network&hl=en&as_sdt=2007"
27,"Y Li, H Chen, J Zheng, A Ngom","The max-min high-order dynamic Bayesian network for learning gene regulatory networks with time-delayed regulations",2015,"IEEE/ACM transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7229306/","https://scholar.google.com/scholar?cites=12549057469984967449&as_sdt=2005&sciodt=2007&hl=en",6,"2022-06-21 20:50:26","","","","",,,,,27,3.86,7,4,7,"… In this paper, we proposed a high-order dynamic Bayesian network learning method for reconstructing gene regulatory networks. This is a constraint-and-scoring method. In the …","http://222.252.30.203:8888/bitstream/DL_123456789/86118/1/792-803%20The%20Max%20Min%20High%20Order%20Dynamic%20Bayesian.pdf","https://scholar.google.com/scholar?q=related:GYtq_Ec1J64J:scholar.google.com/&scioq=source:acm+%22high+order%22+network&hl=en&as_sdt=2007"
65,"H Wang, F Zhang, J Wang, M Zhao, W Li…","Exploring high-order user preference on the knowledge graph for recommender systems",2019,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3312738","https://scholar.google.com/scholar?cites=18283361318897361744&as_sdt=2005&sciodt=2007&hl=en",7,"2022-06-21 20:50:26","","10.1145/3312738","","",,,,,65,21.67,11,6,3,"… The neighborhood can be extended to multiple hops away to model high-order proximity and capture users’ long-distance interests. In addition, we intuitively demonstrate how a KG …","https://www.researchgate.net/profile/Hongwei-Wang-35/publication/331853283_Exploring_High-Order_User_Preference_on_the_Knowledge_Graph_for_Recommender_Systems/links/5f4f5514299bf13a31970b6c/Exploring-High-Order-User-Preference-on-the-Knowledge-Graph-for-Recommender-Systems.pdf","https://scholar.google.com/scholar?q=related:UKP-CECMu_0J:scholar.google.com/&scioq=source:acm+%22high+order%22+network&hl=en&as_sdt=2007"
65,"Y Cai, H Tong, W Fan, P Ji, Q He","Facets: Fast comprehensive mining of coevolving high-order time series",2015,"Proceedings of the 21th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2783258.2783348","https://scholar.google.com/scholar?cites=16281923188372829691&as_sdt=2005&sciodt=2007&hl=en",8,"2022-06-21 20:50:26","","10.1145/2783258.2783348","","",,,,,65,9.29,13,5,7,"… In this paper, we have proposed a comprehensive method, FACets, to address three prominent challenges in mining a network of high-order time series data: (a) high-order; (b) …","http://kt.ijs.si/interno/Proceedings/SIGKDD2015/docs/p79.pdf","https://scholar.google.com/scholar?q=related:-3Uo398C9eEJ:scholar.google.com/&scioq=source:acm+%22high+order%22+network&hl=en&as_sdt=2007"
20,"B Liu, N Xue, H Guo, R Tang, S Zafeiriou…","AutoGroup: Automatic feature grouping for modelling explicit high-order feature interactions in CTR prediction",2020,"… 43rd International ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3397271.3401082","https://scholar.google.com/scholar?cites=18368751414341575364&as_sdt=2005&sciodt=2007&hl=en",9,"2022-06-21 20:50:26","","10.1145/3397271.3401082","","",,,,,20,10.00,3,6,2,"… to better model non-linearity in a deep network, but enumerating all feature combinations of … to network optimization. In this work, we use AutoML to seek useful high-order feature …","","https://scholar.google.com/scholar?q=related:xKJI6xbq6v4J:scholar.google.com/&scioq=source:acm+%22high+order%22+network&hl=en&as_sdt=2007"
4,"L Luo, Y Fang, X Cao, X Zhang, W Zhang","Detecting communities from heterogeneous graphs: A context path-based graph neural network model",2021,"Proceedings of the 30th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3459637.3482250","https://scholar.google.com/scholar?cites=16232499156864274334&as_sdt=2005&sciodt=2007&hl=en",10,"2022-06-21 20:50:26","","10.1145/3459637.3482250","","",,,,,4,4.00,1,5,1,"… As a result, they can be grouped into the same cluster if we consider their high-order relationship, or the relationship that cannot be captured by directed links. To capture the …","https://arxiv.org/pdf/2109.02058","https://scholar.google.com/scholar?q=related:ng-5zfprReEJ:scholar.google.com/&scioq=source:acm+%22high+order%22+network&hl=en&as_sdt=2007"
