Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
50,"G Ghasemiesfeh, R Ebrahimi, J Gao","Complex contagion and the weakness of long ties in social networks: revisited",2013,"Proceedings of the fourteenth ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2492002.2482550","https://scholar.google.com/scholar?cites=3130075877261311301&as_sdt=2005&sciodt=2007&hl=en",1,"2022-06-21 19:36:36","","10.1145/2492002.2482550","","",,,,,50,5.56,17,3,9,"… adopted the contagion, otherwise the node is unactivated. In a k-complex contagion diffusion, … focus on the case where the complex contagion is the only contagion in the network (ie no …","https://sites.rutgers.edu/jie-gao/wp-content/uploads/sites/375/2021/10/complex-contagion-EC13.pdf","https://scholar.google.com/scholar?q=related:Rf0tMG1DcCsJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
65,"B Lucier, J Oren, Y Singer","Influence at scale: Distributed computation of complex contagion in networks",2015,"Proceedings of the 21th ACM SIGKDD …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2783258.2783334","https://scholar.google.com/scholar?cites=16885065678139831662&as_sdt=2005&sciodt=2007&hl=en",2,"2022-06-21 19:36:36","","10.1145/2783258.2783334","","",,,,,65,9.29,22,3,7,"We consider the task of evaluating the spread of influence in large networks in the well-studied independent cascade model. We describe a novel sampling approach that can be used …","http://people.seas.harvard.edu/~yaron/papers/localApproxInf.pdf","https://scholar.google.com/scholar?q=related:bjWq-sXNU-oJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
8,"X Shuai, S Chen, Y Ding, Y Sun, J Busemeyer…","There is more than complex contagion: an indirect influence analysis on Twitter",2012,"… of the ACM SIGKDD …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2350190.2350194","https://scholar.google.com/scholar?cites=4668485692644640310&as_sdt=2005&sciodt=2007&hl=en",3,"2022-06-21 19:36:36","","10.1145/2350190.2350194","","",,,,,8,0.80,1,6,10,"… In addition, the theory of complex contagion tells us that more … networks, shows that complex contagion is validated globally … We found that complex contagion is observed globally but …","https://www.researchgate.net/profile/Ying-Ding-4/publication/241770732_There_is_more_than_complex_contagion_An_indirect_influence_analysis_on_Twitter/links/5662e90608ae418a786b91b6/There-is-more-than-complex-contagion-An-indirect-influence-analysis-on-Twitter.pdf","https://scholar.google.com/scholar?q=related:NsYTtQDLyUAJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
4,"M Coscia, A Gomez-Lievano, J Mcnerney…","The node vector distance problem in complex networks",2020,"ACM Computing …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3416509","https://scholar.google.com/scholar?cites=4636085205766280021&as_sdt=2005&sciodt=2007&hl=en",4,"2022-06-21 19:36:36","","10.1145/3416509","","",,,,,4,2.00,1,4,2,"… In simple contagion, nodes need no reinforcement to … In the third test, we examine a complex contagion model, specifically … The changes to the simple contagion model have a significant …","https://pure.itu.dk/portal/files/85576246/main.pdf","https://scholar.google.com/scholar?q=related:VZMkfu6uVkAJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
422,"K Starbird, L Palen","(How) will the revolution be retweeted? Information diffusion and the 2011 Egyptian uprising",2012,"Proceedings of the acm 2012 conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2145204.2145212","https://scholar.google.com/scholar?cites=2762197144459547359&as_sdt=2005&sciodt=2007&hl=en",5,"2022-06-21 19:36:36","","10.1145/2145204.2145212","","",,,,,422,42.20,211,2,10,"… Complex contagion, a concept from sociology related to information contagion [5], may be … They found that complex contagion to be at work on Twitter, reporting that political hashtags …","","https://scholar.google.com/scholar?q=related:3xIcC6tLVSYJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
0,"CC Luhmann, B Yang","Mechanisms of behavioral contagion: an approximate bayesian approach",2020,"… IEEE/ACM International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9381449/","",6,"2022-06-21 19:36:36","","","","",,,,,0,0.00,0,2,2,"… In the current study, we will explore both absolute and proportional complex contagion … different types of contagion (eg, simple, absolute complex, proportional complex), halting these …","https://web.ntpu.edu.tw/~myday/doc/ASONAM2020/ASONAM2020_Proceedings/pdf/papers/095_091_606.pdf","https://scholar.google.com/scholar?q=related:1ri8pM0wRbgJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
0,"V Barash, C Fink, C Cameron, A Schmidt…","A Twitter social contagion monitor",2020,"2020 IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9381313/","",7,"2022-06-21 19:36:36","","","","",,,,,0,0.00,0,5,2,"… In this study, in order to additionally evaluate complex contagion theory from our results, we chose to scope our streaming collection on themes identified in thirty of [14]’s library of maps. …","https://web.ntpu.edu.tw/~myday/doc/ASONAM2020/ASONAM2020_Proceedings/pdf/papers/082_128_523.pdf","https://scholar.google.com/scholar?q=related:dy6pipuW1twJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
0,"X Shuai, Y Ding, J Busemeyer","How can spreaders affect the indirect infuence on twitter?",2012,"… of the 12th ACM/IEEE-CS joint …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2232817.2232903","",8,"2022-06-21 19:36:36","","10.1145/2232817.2232903","","",,,,,0,0.00,0,3,10,"… If complex contagion takes effect, the influence intensity will be higher when both Charlie … We found that complex contagion is observed globally but is violated locally. Especially, when …","","https://scholar.google.com/scholar?q=related:4JszyFN9ev0J:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
0,"JF de Oliveira, HT Marques-Neto…","Information adoption via repeated or diversified social influence on Twitter",2020,"2020 IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9381365/","",9,"2022-06-21 19:36:36","","","","",,,,,0,0.00,0,3,2,"… simple and complex contagion. Index Terms-Social Influence, Susceptibility, Adoption Threshold … This metric captures well the effects of simple contagion [2]-[4] as it measures how the …","https://web.ntpu.edu.tw/~myday/doc/ASONAM2020/ASONAM2020_Proceedings/pdf/papers/038_025_237.pdf","https://scholar.google.com/scholar?q=related:_7JviBrRcxwJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
21,"B State, L Adamic","The diffusion of support in an online social movement: Evidence from the adoption of equal-sign profile pictures",2015,"… of the 18th ACM Conference on Computer …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2675133.2675290","https://scholar.google.com/scholar?cites=9487556096521019811&as_sdt=2005&sciodt=2007&hl=en",10,"2022-06-21 19:36:36","","10.1145/2675133.2675290","","",,,,,21,3.00,11,2,7,"… of complex diffusion, alternatively known as complex contagion. This is the process in which the likelihood to engage in activism increases with the observation of other individuals’ …","https://dl.acm.org/doi/pdf/10.1145/2675133.2675290","https://scholar.google.com/scholar?q=related:oyG6pwCSqoMJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
