"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Dynamic Crowd Aggregation Simulation Using SIR Model Based Emotion Contagion","X. Nan; Z. Zehong; P. Zhigeng","Liangjiang Int. Coll., Chongqing Univ. of Technol., Chongqing, China; Sch. of Comput. Sci., Chongqing Univ. of Technol., Chongqing, China; Inst. of Service Eng., Hangzhou Normal Univ., Hangzhou, China","2017 International Conference on Virtual Reality and Visualization (ICVRV)","23 May 2019","2017","","","352","353","Generating emotion contagion results were very important in crowd simulation field. However, as the individuals often moving dynamically, then computing the contagion process becomes a challenge. In this paper, we focused on the emotion contagion effects on dynamic aggregation process of the virtual pedestrian. Firstly, according to the social force theory, we constructed individuals' moving velocities based on their expectations. Secondly, made an adjacent test to generate the nearer neighbors as emotional contagions usually occurred between neighbors. And then we treated the emotional contagions between individuals and their neighbors as the information spreading process so that we calculated the influences on their moving directions through the emotional information spreading model SIR (Susceptible Infective Removal). Social force for simulating moving individuals and SIR model were adopted by our method to simulate the emotional contagion of the crowd. Experimental results showed that the SIR model can effectively improve the fidelity of emotional interaction process and crowd aggregation.","2375-141X","978-1-5386-2636-8","10.1109/ICVRV.2017.00080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8719198","Dynamic crowd simulation;emotion contagion;information spreading;SIR model;social force","Computational modeling;Solid modeling;Mathematical model;Force;Graphics processing units;Dynamics;Social networking (online)","behavioural sciences computing;complex networks;emotion recognition;network theory (graphs);pedestrians;social networking (online)","dynamic crowd aggregation simulation;emotion contagion results;crowd simulation field;contagion process;emotion contagion effects;dynamic aggregation process;emotional contagion;emotional information spreading model SIR;emotional interaction process;social force;virtual pedestrian;susceptible infective removal;social force theory","","2","","8","","23 May 2019","","","IEEE","IEEE Conferences"
"A Twitter Social Contagion Monitor","V. Barash; C. Fink; C. Cameron; A. Schmidt; W. Dong; M. Macy; J. Kelly; A. Deshpande","Graphika Labs, Graphika, Inc.,New York,USA; Applied Physics Laboratory, Johns Hopkins University,Maryland,USA; Social Dynamics Lab, Cornell University,Ithaca,USA; Applied Physics Laboratory, Johns Hopkins University,Maryland,USA; Social Dynamics Lab, Cornell University,Ithaca,USA; Social Dynamics Lab, Cornell University,Ithaca,USA; Graphika Labs, Graphika, Inc.,New York,USA; Graphika Labs, Graphika, Inc.,New York,USA","2020 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)","24 Mar 2021","2020","","","523","530","We describe and validate a system for monitoring social contagions on Twitter: social movements, rumors, and emotional outbursts that spread from person to person in a viral manner. We use Twitter streams to monitor the spread of these phenomena through human social and information networks. This system, the contagion monitor, parses Twitter posts to identify emerging phenomena, as captured in hashtags, URLs, words and phrases, or account-handles, and then determines the extent to which a particular phenomenon spreads via the social network (in contrast to its spread via news broadcasts or independent adoption) and locates the contagion within Twitter communities. The monitor approximates the adoption threshold of a social contagion by measuring the fraction of Twitter users who were “infected” by the contagion (e.g., joined a particular social movement) after more than one of their friends had done so. Finally, the monitor makes a judgment about whether the phenomenon has reached critical mass, which is defined as the point where a social contagion begins spreading rapidly and breaches the social boundaries of its early adopter group. We test our prototype monitor on two data sources - an ongoing stream of tweets grouped by user-added hashtags and a collection of posts by a monitored set of Nigerian Twitter users - before productionalizing. We use the Amazon Mechanical Turk platform to evaluate the performance on both data sources. In both cases, we find that our approach successfully distinguishes between high-threshold and low-threshold social contagions.","2473-991X","978-1-7281-1056-1","10.1109/ASONAM49781.2020.9381313","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381313","","Social networking (online);Blogs;Prototypes;Data mining;Monitoring","social networking (online);text analysis","social movements;human social networks;social contagion monitoring;information networks;Twitter post parsing;user added hashtags;Amazon Mechanical Turk platform","","","","24","","24 Mar 2021","","","IEEE","IEEE Conferences"
"Modeling complex social contagions in big data era","X. Ding; Z. Wu; W. Chen; Y. Liu; Y. Xie; S. Cai","Power China Chengdu Engineering Corporation Limited, Chengdu 610072, P. R. China; Power Construction Corporation of China, Beijing 100048, P. R. China; Power China Chengdu Engineering Corporation Limited, Chengdu 610072, P. R. China; Power China Chengdu Engineering Corporation Limited, Chengdu 610072, P. R. China; Southwest University for Nationalities, Chengdu 610041, P. R. China; Big Data Research Center, University of Electronic Science and Technology of China, Chengdu 611731, P. R. China","2017 IEEE 2nd Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","2 Oct 2017","2017","","","830","834","In big data era, individuals are surrounded by various kinds of social medium, such as Facebook, Twitter and Microblog. These social media produce vast information every day and support diverse social contagions. However, the dynamics and mechanisms of these social contagions are still obscure and unrevealed because of the big data. In this paper, we propose a novel non-Markovian social contagion model to study behavior spreading under the environment of big data, in which a fraction of global individuals can transmit the behavior information to every susceptible individual, and the remaining local individuals can only transmit the behavior information to neighbors. Through extensive numerical simulations, we find that the global individuals markedly promote the behavior spreading and decrease the critical information transmission probability. In addition, we note that the degree heterogeneity of social network does not change the phenomena qualitatively. Our results may shed some lights in predicting and controlling social contagions. In further, the proposed model may be applied in real simulation platforms for emergency management in big data era.","","978-1-4673-8979-2","10.1109/IAEAC.2017.8054131","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8054131","complex networks;social contagions;behavior spreading;simulation model","Social network services;Big Data;Numerical models;Data models;Numerical simulation;Information processing;Erbium","Big Data;emergency management;social networking (online)","big data era;social medium;social media;novel nonMarkovian social contagion model;behavior information;susceptible individual;critical information transmission probability;social network;Facebook;Twitter;microblog;social contagions;emergency management","","2","","20","","2 Oct 2017","","","IEEE","IEEE Conferences"
"Can social contagion spread without key players?","G. Korkmaz; C. J. Kuhlman; F. Vega-Redondo","Biocomplexity Institute of Virginia Tech; Biocomplexity Institute of Virginia Tech; Department of Decision Sciences, Bocconi University","2016 International Conference on Behavioral, Economic and Socio-cultural Computing (BESC)","5 Jan 2017","2016","","","1","6","Contagion models have been used to study the spread of social behavior among agents of a population, such as information diffusion, social influence, and participation to collective action (e.g., protests). Key players, which are typically high-degree, -k-core or -centrality agents in a networked population, are considered important for spreading social contagions. In this paper, we ask whether contagions can propagate through a population that is void of key players. We use Erdos-Renyi random graphs as a representation of unstructured populations that lack key players, and investigate whether complex contagions - those requiring reinforcement - can spread on them. We demonstrate that two game-theoretic contagion models that utilize common knowledge for collective action can readily spread such contagions, which is a significant difference from classic complex contagion models. We compare contagion dynamics results on unstructured networks to those on more typically-studied, structured social networks to understand the role of network structure. We test a total of 14 networks. The two common knowledge models are also contrasted to understand the effects of different modeling assumptions on dynamics. We show that under a wide range of conditions, these two models produce markedly different results.","","978-1-5090-6164-8","10.1109/BESC.2016.7804473","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7804473","common knowledge;collective action;key players;social modeling;complex contagion","Erbium;Sociology;Statistics;Facebook;Knowledge engineering;Context modeling","game theory;graph theory;graphs;social networking (online)","social contagion spread;social behavior;information diffusion;social influence;collective action;networked population;Erdos-Renyi random graphs;game-theoretic contagion models;complex contagion models;contagion dynamics;unstructured networks;structured social networks;network structure;modeling","","3","","22","","5 Jan 2017","","","IEEE","IEEE Conferences"
"Persuasion and Social Contagion","M. Guerini; C. Strapparava","Trento-Rise, Trento, Italy; FBK-Irst, Trento, Italy","2011 IEEE Third International Conference on Privacy, Security, Risk and Trust and 2011 IEEE Third International Conference on Social Computing","2 Jan 2012","2011","","","1486","1489","We address the relation between persuasion and virality in social networks and provide preliminary findings based on a Digg dataset. In particular we want to understand whether a content categorized as persuasive (according to various metrics) can be categorized as viral as well. Results show that the persuasive properties of a content are related to its virality in different ways. These findings suggest that planning the persuasive effect of a content is a necessary, but not sufficient, condition for virality.","","978-1-4577-1931-8","10.1109/PASSAT/SocialCom.2011.210","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6113330","","Correlation;Social network services;Iron;Measurement;Context;Conferences;Communities","computer viruses;social networking (online)","persuasion;social contagion;social networks;Digg dataset;persuasive properties;virality","","","","10","","2 Jan 2012","","","IEEE","IEEE Conferences"
"Computational Social Science for the World Wide Web","M. Strohmaier; C. Wagner","University of Koblenz-Landau and GESIS--Leibniz Institute for the Social Sciences, Germany; University of Koblenz-Landau and GESIS--Leibniz Institute for the Social Sciences, Germany","IEEE Intelligent Systems","7 Nov 2014","2014","29","5","84","88","In this article, we want to introduce the field of computational social science to the intelligent systems community and discuss how this field can help to advance the current state of understanding and engineering social-computational systems on the World Wide Web. Overall, this article makes an argument that computational social science offers a unique range of challenges as well as methods and techniques that can help understand and engineer systems on the World Wide Web.","1941-1294","","10.1109/MIS.2014.80","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6949513","computational social science;sentiment analysis;emotion contagion;social media;social networks;intelligent systems","Social network services;Social sciences;Computational modeling;Sentiment analysis;Algorithm design and analysis","Internet;social sciences computing","social-computational system engineering;intelligent systems community;World Wide Web;computational social science","","14","","26","","7 Nov 2014","","","IEEE","IEEE Magazines"
"Contagion of Cheating Behaviors in Online Social Networks","J. Woo; S. W. Kang; H. K. Kim; J. Park","Department of Big Data Engineering, Soonchunhyang University, Asan, South Korea; Data Analysis and Modeling Team, NCSOFT, Seongnam, South Korea; Graduate School of Information Security, Korea University, Seoul, South Korea; Graduate School of Culture Technology, KAIST, Daejeon, South Korea","IEEE Access","18 Jun 2018","2018","6","","29098","29108","Human behaviors are known to spread through social contact. The diffusion process on social networks has also been leveraged to understand the spread of undesirable contagion. The contagion of malicious or even criminal behaviors in online social networks is just beginning to attract attention. Here, we study the social contagion problem of cheating behavior found in the massively multiplayer online role-playing game (MMORPG) that provides a lifelike environment with rich and realistic user interactions. Because cheating users boast an abnormal thus conspicuous degree of success, it has a strong chance of being noticed by their friends and leading them to cheat themselves. To detect and prevent cheating, it is beneficial to understand this dynamic as a contagion problem. In this paper, we show the existence of the contagion of cheating. We then explore various possible social reinforcement mechanisms after introducing several factors to quantify the effect of social reinforcement on the contagion and analyze the dynamics of bot diffusion in an extensive user interaction log from a major MMORPG.","2169-3536","","10.1109/ACCESS.2018.2834220","Korea University; Soonchunhyang University Research Fund(grant numbers:20160854); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8355800","Diffusion model;social contagion;social network;online game","Games;Social network services;Diffusion processes;Sociology;Data analysis;Analytical models;Data models","behavioural sciences computing;computer games;social networking (online)","online social networks;human behaviors;social contact;malicious behaviors;social contagion problem;cheating behavior;massively multiplayer online role-playing game;user interactions;social reinforcement mechanisms;criminal behaviors;MMORPG","","5","","61","OAPA","7 May 2018","","","IEEE","IEEE Journals"
"Contagion of Habitual Behaviour in Social Networks: An Agent-Based Model","M. C. A. Klein; N. Mogles; J. Treur; A. van Wissen","Agent Syst. Res. Group, VU Univ. Amsterdam, Amsterdam, Netherlands; Agent Syst. Res. Group, VU Univ. Amsterdam, Amsterdam, Netherlands; Agent Syst. Res. Group, VU Univ. Amsterdam, Amsterdam, Netherlands; Agent Syst. Res. Group, VU Univ. Amsterdam, Amsterdam, Netherlands","2012 International Conference on Privacy, Security, Risk and Trust and 2012 International Confernece on Social Computing","10 Jan 2013","2012","","","538","545","This paper introduces a computational model for contagion and change of habitual behaviour in a social network. It considers both the level of individual mechanisms of habit formation, involving a person's attitudes, goals, intentions and relevant environmental cues, and the level of social mechanisms for the impact of others in a social network. Simulation experiments with the model for small-world networks show that the model exhibits realistic behaviour. The model can be used as an aid for physicians and policymakers addressing lifestyle formation and spread in a population under considered policies.","","978-1-4673-5638-1","10.1109/SocialCom-PASSAT.2012.88","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6406305","Social behavior modeling;Social Contagion","Social network services;Computational modeling;Adaptation models;Cost accounting;Biological system modeling;Position measurement;Context","behavioural sciences;multi-agent systems;social networking (online)","habitual behaviour contagion;social networks;agent-based model;computational model;habitual behaviour change;individual mechanisms;habit formation;person attitudes;environmental cues;social mechanisms;small-world networks;lifestyle formation;physicians formation","","3","","48","","10 Jan 2013","","","IEEE","IEEE Conferences"
"Poster Abstract: SmileWave - Sensing and Analysis of Smile-Based Emotional Contagion over Social Network","W. Sasaki; Y. Furukawa; Y. Nishiyama; T. Okoshi; J. Nakazawa; H. Tokuda","Fac. of Environ. & Inf. Studies, Keio Univ., Yokohama, Japan; Grad. Sch. of Media & Governance, Keio Univ., Yokohama, Japan; Grad. Sch. of Media & Governance, Keio Univ., Yokohama, Japan; Fac. of Environ. & Inf. Studies, Keio Univ., Yokohama, Japan; Fac. of Environ. & Inf. Studies, Keio Univ., Yokohama, Japan; Fac. of Environ. & Inf. Studies, Keio Univ., Yokohama, Japan","2016 15th ACM/IEEE International Conference on Information Processing in Sensor Networks (IPSN)","28 Apr 2016","2016","","","1","2","This paper proposes ''SmileWave"", a system for revealing smile-based emotional contagion, propagation effect of the similar emotion through smiley facial expression, on the social network where users interact each other through web-based user interface rather than in-person interaction. SmileWave is a picture-based networking service and detects the change of smile degree when the user looks at posted smile images of others. Our extensive user study with 50 participants for 30 days confirmed the emotional contagion effect on SmileWave. Users' smile degree improved by 27% when the user looked at posted smile images. The result also proved that there is a stronger effect on smile-based emotional contagion when the examinee and the person in the image are in close relationship.","","978-1-5090-0802-5","10.1109/IPSN.2016.7460714","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7460714","","Social network services;Media;Servers;Mood;Sensors;User interfaces","emotion recognition;face recognition;human computer interaction;Internet;social networking (online);user interfaces","smile-based emotional contagion;social network;SmileWave;propagation effect;facial expression;Web-based user interface;picture-based networking service;smile degree;smile images;emotional contagion effect","","2","","8","","28 Apr 2016","","","IEEE","IEEE Conferences"
"Blocking Simple and Complex Contagion by Edge Removal","C. J. Kuhlman; G. Tuli; S. Swarup; M. V. Marathe; S. S. Ravi","Virginia Bioinf. Inst., Blacksburg, VA, USA; Virginia Bioinf. Inst., Blacksburg, VA, USA; Virginia Bioinf. Inst., Blacksburg, VA, USA; Virginia Bioinf. Inst., Blacksburg, VA, USA; Dept. of Comput. Sci., Univ. at Albany-SUNY Albany, Albany, NY, USA","2013 IEEE 13th International Conference on Data Mining","3 Feb 2014","2013","","","399","408","Eliminating interactions among individuals is an important means of blocking contagion spread, e.g., closing schools during an epidemic or shutting down electronic communication channels during social unrest. We study contagion blocking in networked populations by identifying edges to remove from a network, thus blocking contagion transmission pathways. We formulate various problems to minimize contagion spread and show that some are efficiently solvable while others are formally hard. We also compare our hardness results to those from node blocking problems and show interesting differences between the two. Our main problem is not only hard, but also has no approximation guarantee, unless P=NP. Therefore, we devise a heuristic for the problem and compare its performance to state-of-the-art heuristics from the literature. We show, through results of 12 (network, heuristic) combinations on three real social networks, that our method offers considerable improvement in the ability to block contagions in weighted and unweighted networks. We also conduct a parametric study to understand the limitations of our approach.","2374-8486","978-0-7695-5108-1","10.1109/ICDM.2013.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6729524","contagion blocking;simple contagion;complex contagion","Social network services;Educational institutions;Approximation methods;Integrated circuit modeling;Contracts;Public healthcare;Context","computational complexity;network theory (graphs);social sciences","edge removal;complex contagion;social unrest;contagion blocking;networked populations;social networks;node blocking problems;weighted networks;unweighted networks","","26","","28","","3 Feb 2014","","","IEEE","IEEE Conferences"
